Photo;Date and Time;Exp. Time;F/Stop;Exp. Program;Exp. Bias;Metering Mode;Light Source;Flash;Focal Length;Focal Length (35 mm);ISO Speed;Orientation;Dimensions;File Size;Path;Tags
IMG_0078;02/05/2018  12:22:28;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;625 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0078.JPG;placeID: 111
IMG_0079;02/05/2018  12:22:29;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;635 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0079.JPG;placeID: 111
IMG_0080;02/05/2018  12:22:30;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;603 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0080.JPG;placeID: 111
IMG_0081;02/05/2018  12:22:31;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;692 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0081.JPG;placeID: 111
IMG_0082;02/05/2018  12:22:33;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;696 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0082.JPG;placeID: 111
IMG_0084;02/05/2018  12:22:34;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;633 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0084.JPG;placeID: 111
IMG_0083;02/05/2018  12:22:34;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;672 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0083.JPG;placeID: 111
IMG_0085;02/05/2018  12:22:35;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;661 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0085.JPG;placeID: 111
IMG_0087;02/05/2018  12:22:37;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;670 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0087.JPG;placeID: 111
IMG_0086;02/05/2018  12:22:37;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;663 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0086.JPG;placeID: 111
IMG_0088;02/05/2018  12:22:38;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;664 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0088.JPG;placeID: 111
